"Task ID","Task Name","Description","List","Status","Priority","MVP Cut","Critical Path","Owner Group","Dependencies","Deliverable","Acceptance Criteria","Tags"
"T-D01","[T-D01] D1~D11 의사결정 회의 기획","산출물: 회의 안건서 (각 결정에 대한 옵션·영향·권고안)

수용기준(AC): D1~D11 각 항목에 옵션 ≥2개와 권고안 제시

담당: PM
의존성: —
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P1","must-open","no","PM","—","회의 안건서 (각 결정에 대한 옵션·영향·권고안)","D1~D11 각 항목에 옵션 ≥2개와 권고안 제시","P1, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-D02","[T-D02] D1~D11 의사결정 회의 진행","산출물: 결정 회의록 (각 결정 사항 + 결정 사유 + 결정자)

수용기준(AC): D1~D11 모두 결정 표시. 미결정 항목은 ""재논의 일자"" 명시

담당: 경영/PM
의존성: T-D01
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P0","must-open","yes","경영/PM","T-D01","결정 회의록 (각 결정 사항 + 결정 사유 + 결정자)","D1~D11 모두 결정 표시. 미결정 항목은 ""재논의 일자"" 명시","P0, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-D03","[T-D03] D6 Cafe24 구현 범위 사전 조사","산출물: Cafe24 기본 기능 vs 외부 연동 비교표 (정품등록·멤버십·다중진입로·ROUTINE LAB)

수용기준(AC): 4개 항목별로 기본/테마/외부연동 가능 여부와 공수 추정

담당: 개발
의존성: —
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P0","must-open","yes","개발","—","Cafe24 기본 기능 vs 외부 연동 비교표 (정품등록·멤버십·다중진입로·ROUTINE LAB)","4개 항목별로 기본/테마/외부연동 가능 여부와 공수 추정","P0, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-D04","[T-D04] D8 부스터 라인명 6개 상표권 검색","산출물: 상표권 검색 결과 보고서

수용기준(AC): 6개 라인명 + 후보 대체안 2~3개씩, 출원 가능성 명시

담당: 법무
의존성: —
MVP 컷: must-open","0. 의사결정 회의 (선행 — 모든 분야 unblock)","to do","P0","must-open","yes","법무","—","상표권 검색 결과 보고서","6개 라인명 + 후보 대체안 2~3개씩, 출원 가능성 명시","P0, must-open, 의사결정-회의-(선행-—-모든-분야-unblock)"
"T-C01","[T-C01] GNB 8개 메뉴 IA 와이어프레임","산출물: 데스크톱·모바일 와이어프레임

수용기준(AC): 8메뉴 노출/활성/호버/모바일 햄버거 동작 명세 포함

담당: 기획/디자인
의존성: T-D02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","기획/디자인","T-D02","데스크톱·모바일 와이어프레임","8메뉴 노출/활성/호버/모바일 햄버거 동작 명세 포함","P1, must-open, 공통-/-메인-/-GNB"
"T-C02","[T-C02] 메인 Hero 영역 카피·비주얼 확정","산출물: Hero 디자인 시안

수용기준(AC): 슬로건 ""피부에, 몸 안에서, 그리고 스트레스관리까지."" 적용, 4라인 카드 진입 CTA

담당: 디자인/콘텐츠
의존성: T-D02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","디자인/콘텐츠","T-D02","Hero 디자인 시안","슬로건 ""피부에, 몸 안에서, 그리고 스트레스관리까지."" 적용, 4라인 카드 진입 CTA","P1, must-open, 공통-/-메인-/-GNB"
"T-C03","[T-C03] 추천 빠른 진입 바 컴포넌트 설계","산출물: 가로 스크롤 컴포넌트 시안 + 운영 룰

수용기준(AC): 노출 항목 6개 운영 룰 + 시즌 교체 주기 + CMS 입력 필드 정의

담당: 기획/디자인
의존성: T-D02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","기획/디자인","T-D02","가로 스크롤 컴포넌트 시안 + 운영 룰","노출 항목 6개 운영 룰 + 시즌 교체 주기 + CMS 입력 필드 정의","P1, must-open, 공통-/-메인-/-GNB"
"T-C04","[T-C04] 4라인 카드 (DEVICE/BOOSTER/INNER/CALM)","산출물: 카드 시안 + INNER/CALM ""준비중"" 처리

수용기준(AC): D1 결정 반영. 준비중일 경우 카드 상태와 클릭 처리 명시

담당: 디자인
의존성: T-D02 (D1)
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","디자인","T-D02 (D1)","카드 시안 + INNER/CALM ""준비중"" 처리","D1 결정 반영. 준비중일 경우 카드 상태와 클릭 처리 명시","P1, must-open, 공통-/-메인-/-GNB"
"T-C05","[T-C05] SCIENCE 티저 섹션","산출물: 1문장 카피 + 진입 CTA 시안

수용기준(AC): DEVICE SCIENCE 페이지(T-SC02)에 연결

담당: 콘텐츠/디자인
의존성: T-SC02
MVP 컷: must-open","1. 공통 / 메인 / GNB","to do","P1","must-open","no","콘텐츠/디자인","T-SC02","1문장 카피 + 진입 CTA 시안","DEVICE SCIENCE 페이지(T-SC02)에 연결","P1, must-open, 공통-/-메인-/-GNB"
"T-C06","[T-C06] ROUTINE LAB 인기 루틴 섹션 (메인)","산출물: 메인 노출 컴포넌트 시안

수용기준(AC): 수동 운영 가능한 입력 폼 + 3~6개 카드 노출

담당: 기획/디자인
의존성: T-CM01
MVP 컷: post-open","1. 공통 / 메인 / GNB","to do","P1","post-open","no","기획/디자인","T-CM01","메인 노출 컴포넌트 시안","수동 운영 가능한 입력 폼 + 3~6개 카드 노출","P1, post-open, 공통-/-메인-/-GNB"
